Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930130,879,0,100/07-06-045-11W4/00,19930204,PRECISION DRILLING CORPORATION,3,,20130701,Abandoned Crude Oil,434.9,271.5,PRIMARY,Waterflood,775,772,854.8,LEDUC FM,67356.1,SPARKY I,YES,BWL,AB4,Medicine Hat,0,748592.5,61311.816,20190503,9747.8,119016.7,19930201,702.4,37.7,14.41,1.6,0.56,1.12,58.52,20.91,1.22,,0,0,,140,2,5262,30,0155893,3,0,,992.7,35056.87,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE YY,,19930209,1066,0,100/13-28-036-08W4/00,19930213,CAYMAN VENTURES LTD.,1,,19971001,Abandoned Zone Crude Oil,374.7,435.2,PRIMARY,,1038,1036.7,1062.5,WINTERBURN GRP,9047.989,ELLERSLIE YY,YES,BWL,AB4,Medicine Hat,0,12565.784,8727.112,20030709,1387.5,1997.8,19930212,805.7,5.15,52.02,1.88,1.63,2.51,25.49,52.91,2.79,,0,0,,145,4,6693,34,0156128,2,0,,52.7,1861.0829,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,,,19930209,1066,0,100/13-28-036-08W4/02,19930213,CAYMAN VENTURES LTD.,,,,Abandoned,374.7,435.2,PRIMARY,,,,1062.5,WINTERBURN GRP,,,YES,BWL,AB4,Medicine Hat,,,,20030709,,,19930212,805.7,,,,,,,,,,,,,,,,,0156128,2,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE VV,DISPOSAL,19930206,1060,0,103/03-36-034-08W4/00,19930210,TRI-CITY DRILLING INC.,8,20150801,19930901,Suspended Water Disposal,352.9,426.7,PRIMARY,II,1035,1027,1013,DINA MBR,9803.993,ELLERSLIE VV,YES,BWL,AB3,Medicine Hat,0,4577.724,9653.602,,1534.8,727.8,19930209,775.9,12.39,124.46,21.6,9.48,43.93,44.53,126.6,45.56,,0,2467955.2,0,124,4,6890,28,0156307,3,0,0,24.7,872.2723,,15522972,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
GORDONDALE,DEEPER-POOLTEST,Vertical,DOIG FM,,,19930304,1745,0,100/07-25-079-10W6/00,19930315,BEAVER DRILLING LTD.,,,,Abandoned,168.5,629.5,PRIMARY,,,,1693,DOIG FM,,,,BWL,AB7,Drayton Valley/Grande Prairie,,,,19930315,,,19930311,794.4,,,,,,,,,,,,,,,,,0156381,,,,,,,,10176,2077,11871,11027,13137,3594,16731,10601,9794,2301,12902,68388,1695
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,,,19930323,1091,1073.9,102/13-28-036-08W4/00,19930328,CAYMAN VENTURES LTD.,,,,Abandoned,374.7,434.7,PRIMARY,,,,1077,WINTERBURN GRP,,,,BWL,AB4,Medicine Hat,,,,19930328,,,19930327,805.4,,,,,,,,,,,,,,,,,0156395,,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST DINA L,,19930312,919,902.8,1B3/08-01-039-05W4/00,19930315,DOLPHIN DRILLING,2,,19980701,Abandoned Crude Oil,384.2,318.2,PRIMARY,,848,846.5,903.3,WOODBEND GRP,34373.816,DINA L,,BWL,AB4,Medicine Hat,0,1515867,33764.332,20000725,5368.1,241003.6,19930314,698.8,0.73,40.96,59.82,1.19,6,494.09,41.09,6.21,,0,0,,232,3,5840,27,0157081,2,0,,100.1,3534.998,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930310,1058,998.58,104/10-27-040-12W4/00,19930314,CAYMAN VENTURES LTD.,4,,20050401,Abandoned Crude Oil,399.2,335.2,PRIMARY,,1034.5,1031,,,34302.8,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1994136.1,32742.867,20160307,5205.7,317042.3,19930313,730.9,4.01,30.14,76.53,0.99,1.12,1149.88,30.83,1.29,,0,0,,184,3,6464,34,0157094,1,0,,256.2,9047.617,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930314,1095,997.85,105/10-27-040-12W4/00,19930319,CAYMAN VENTURES LTD.,3,,20120201,Abandoned Crude Oil,399.2,335.2,PRIMARY,,1070.4,1067,,,61959.492,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,5112911,59897.24,20160929,9522.9,812887.9,19930318,730.9,4.81,37.2,169.41,0.85,1.58,294.07,38.03,1.73,,0,0,,184,3,6464,34,0157145,2,0,,338.7,11961.077,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930322,851,0,100/08-06-045-11W4/00,19930325,PRECISION DRILLING CORPORATION,3,,20130701,Suspended Crude Oil,434.6,271.5,PRIMARY,Waterflood,773.5,771,823,GLAUCONITIC SS,120578.5,SPARKY I,YES,BWL,AB4,Medicine Hat,0,878586.56,115140.65,,18305.9,139684.1,19930324,702.3,76.11,83.96,12.45,0.77,0.98,120.33,97.08,1.11,,0,0,,140,2,5262,30,0157282,1,0,,893.1,31539.53,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930321,850,0,100/01-06-045-11W4/00,19930326,PRECISION DRILLING CORPORATION,3,,20130701,Abandoned Crude Oil,436.4,269,PRIMARY,Waterflood,773,770,823,GLAUCONITIC SS,124211.4,SPARKY I,YES,BWL,AB4,Medicine Hat,0,1104767.5,108790.45,20190529,17296.3,175644,19930325,702,264.11,59.46,3.59,0.73,0.55,116.08,105,0.68,,0,0,,140,2,5262,30,0157283,1,0,,2532.7,89441.45,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930325,847,0,100/09-06-045-11W4/00,19930327,PRECISION DRILLING CORPORATION,2,,20130701,Abandoned Crude Oil,396.6,311.1,PRIMARY,Waterflood,779.5,777.8,830,GLAUCONITIC SS,49725.88,SPARKY I,YES,BWL,AB4,Medicine Hat,0,365819.8,46827.64,20190513,7445,58160.7,19930327,703.9,26.41,48.83,26.21,0.46,0.88,91.18,53.38,0.96,,0,0,,140,2,5262,30,0157284,1,0,,476,16809.781,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,INJECTION,19930328,845,0,100/10-06-045-11W4/00,19930330,PRECISION DRILLING CORPORATION,2,19960301,19950701,Abandoned Zone Water Injection,422.1,281.6,PRIMARY,Waterflood,773.7,772,823,GLAUCONITIC SS,9051.029,SPARKY I,YES,BWL,AB4,Medicine Hat,0,16869.273,7927.0483,,1260.3,2682,19930329,699.9,9.55,27.67,37.89,5.45,3.08,12.6,29.32,4.02,,0,594,0,140,2,5262,30,0157362,1,0,0,184.6,6519.0874,,3736.1477,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930323,1006,0,103/07-27-040-12W4/00,19930327,CAYMAN VENTURES LTD.,2,,19970501,Abandoned Crude Oil,399.28,340.5,PRIMARY,,980.5,978.5,,,145.92361,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,12131.158,145.92361,20160924,23.2,1928.7,19930326,736.3,,1.57,186.77,,4.71,195.66,1.57,4.71,,0,0,,184,3,6464,34,0157446,1,0,,0,0,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930415,1008,0,102/05-26-040-12W4/00,19930418,CAYMAN VENTURES LTD.,4,,20020601,Abandoned Crude Oil,399.18,338.8,PRIMARY,,980,976,975,ELLERSLIE MBR,46763.695,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1326229.2,44370.21,20160308,7054.3,210853.6,19930417,734.5,43.52,239.94,50.67,1.09,2.35,279.18,247.44,2.54,,0,0,,184,3,6464,34,0157537,1,0,,393.1,13882.195,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930418,1017,1006.2,105/05-26-040-12W4/00,19930423,CAYMAN VENTURES LTD.,2,,20130701,Abandoned Crude Oil,399.18,338.9,PRIMARY,,992,990,,,74844.11,ELLERSLIE D,YES,BWL,AB4,Medicine Hat,0,4971935,70742.13,20160309,11247.1,790474.5,19930422,734.6,12.1,100.55,37.71,0.65,0.29,105.8,102.64,0.4,,0,0,,184,3,6464,34,0157571,2,0,,673.7,23791.49,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930428,1013,1004.14,104/05-26-040-12W4/00,19930501,CAYMAN VENTURES LTD.,3,,20000701,Abandoned Zone Crude Oil,399.18,338.6,PRIMARY,,986,983,,,81592.04,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1315702.6,79401.31,20160923,12623.8,209180,19930501,734.3,22.05,200.69,65.58,1.5,2.78,237.86,204.49,3.04,,0,0,,184,3,6464,34,0157572,2,0,,359.8,12706.217,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST UPPER MANNVILLE Z2Z,,19930428,1013,1004.14,104/05-26-040-12W4/02,19930501,CAYMAN VENTURES LTD.,1,,20140201,Abandoned Crude Oil,399.18,338.6,PRIMARY,,978,977,,,7119.917,UPPER MANNVILLE Z2Z,,BWL,AB4,Medicine Hat,0,49194.496,6125.0176,20160923,973.8,7821.3,19930501,734.3,0.45,4.76,499.2,0.43,0.11,0.02,4.84,0.18,,0,0,,16,12,6840,32,0157572,2,0,,163.4,5770.4165,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930423,1022,1006.18,103/05-26-040-12W4/00,19930427,CAYMAN VENTURES LTD.,2,,20140201,Abandoned Crude Oil,399.18,338.8,PRIMARY,,990,988,993.85,ELLERSLIE MBR,59241.348,ELLERSLIE D,YES,BWL,AB4,Medicine Hat,0,1373120.4,56350.414,20160309,8959,218308.7,19930426,734.5,8.9,121.29,32.85,1.92,1.29,2.64,122.82,1.62,,0,0,,184,3,6464,34,0157573,2,0,,474.8,16767.404,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
VIKING-KINSELLA,DEVELOPMENT,Vertical,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930520,842,0,100/15-31-044-11W4/00,19930524,SEDCO DRILLING,2,,20130701,Abandoned Crude Oil,428.7,272.8,PRIMARY,Waterflood,769.5,767.5,818.3,GLAUCONITIC SS,77687.09,SPARKY I,YES,BWL,AB4,Medicine Hat,0,1434909.6,70975.484,20190508,11284.2,228132.4,19930523,697.6,70.43,50.56,20.25,0.63,1.78,245.85,62.7,1.89,,0,0,,140,2,5262,30,0157756,2,0,,1102.3,38927.355,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
PROVOST,DEVELOPMENT,Vertical,DINA MBR,PROVOST UPPER MANNVILLE M6M,,19930523,1040,0,100/15-24-038-10W4/00,19930527,SEDCO DRILLING,5,,20151201,Abandoned Crude Oil,398.85,394.6,PRIMARY,,997,992,1008,ELLERSLIE MBR,82534.31,UPPER MANNVILLE M6M,,BWL,AB4,Medicine Hat,0,7487.3906,77088.55,20190224,12256.1,1190.4,19930526,790.2,2.18,24.67,1.48,0.12,2.67,0.94,25.05,2.69,,0,0,,,1,6119,34,0157825,1,0,,894.4,31585.438,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE D,,19930502,1015,1003.3,102/12-26-040-12W4/00,19930506,CAYMAN VENTURES LTD.,4,,20050401,Abandoned Crude Oil,399.18,338.6,PRIMARY,,988,984.2,983.8,ELLERSLIE MBR,85672.96,ELLERSLIE D,,BWL,AB4,Medicine Hat,0,1937392.5,83237.47,20160923,13233.7,308020.8,19930505,734.3,13.32,107.39,3.18,0.83,2.39,1207.3,109.69,2.53,,0,0,,184,3,6464,34,0157975,1,0,,400,14125.866,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST GLAUCONITIC H,,19930506,995,0,100/13-26-040-12W4/00,19930510,CAYMAN VENTURES LTD.,4,,20040301,Abandoned Crude Oil,398.97,336.3,PRIMARY,,970.5,967,984,ELLERSLIE MBR,15951.079,GLAUCONITIC H,,BWL,AB4,Medicine Hat,0,102820.164,15078.563,20160130,2397.3,16347.1,19930509,731.8,29.17,96.96,76.97,0.19,0.59,0.89,101.99,0.62,,0,0,,4,4,7747,34,0158111,1,0,,143.3,5060.592,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST GLAUCONITIC H,,19930828,993,0,102/13-26-040-12W4/00,19930831,CAYMAN VENTURES LTD.,4,,19991001,Abandoned Crude Oil,398.97,334.1,PRIMARY,,969,965,965,ELLERSLIE MBR,8229.442,GLAUCONITIC H,,BWL,AB4,Medicine Hat,0,1954.2443,7158.4336,20160130,1138.1,310.7,19930830,729.6,69.73,83.42,1.97,0.16,1.03,3.42,95.44,1.06,,0,0,,4,4,7747,34,0158112,1,0,,175.9,6211.85,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
BOW ISLAND,DEVELOPMENT,Vertical,SAWTOOTH FM,,,19930517,944,0,100/11-23-010-13W4/00,19930528,ARROWSTAR DRILLING CORPORATION,,,,Abandoned & Whipstocked,488.9,315.1,PRIMARY,,,,,,,,,BWL,AB3,Medicine Hat,,,,20160202,,,19930520,799.4,,,,,,,,,,,,,,,,,0158141,,,,,,,,2569,269,2874,2725,10678,508,11186,2741,2605,311,3052,10767,305
BOW ISLAND,DEVELOPMENT,Deviated,SAWTOOTH FM,BOW ISLAND SAWTOOTH D,,19930517,953,949.5,102/12-23-010-13W4/02,19930528,ARROWSTAR DRILLING CORPORATION,3,,20100501,Abandoned Crude Oil,488.9,315.1,PRIMARY,,927,924,,,91288.7,SAWTOOTH D,,BWL,AB3,Medicine Hat,0,1135044.8,87925.89,20160202,13979.1,180457.7,19930527,799.4,4.31,51.26,134.05,1.77,1.65,158.96,52,1.96,,0,0,,801,2,7505,33,0158141,2,0,,552.3,19504.291,,0,2569,269,2874,2725,10678,508,11186,2741,2605,311,3052,10767,305
ALDERSON,DEVELOPMENT,Vertical,SECOND WHITE SPECKS,ALDERSON COMMINGLED MFP9501,,19931102,651,0,100/13-35-014-13W4/00,19931103,DRIMATIC DRILLING LTD,342,,20130901,Abandoned Gas,513.5,234.6,PRIMARY,,604.5,263,591.91,SECOND WHITE SPECKS,1510.0065,BELLY RIVER G,YES,BWL,AB3,Medicine Hat,0,934.6659,0,20131025,0,148.6,19931103,744.6,18.31,,8.5,0.27,,2.49,3.16,0.05,,0,0,,,,,,0158258,11,0,,248,8758.037,,0,64942,2775,75340,68489,113682,5775,119457,76405,72565,3087,79492,382223,10398
BOW ISLAND,DEVELOPMENT,Vertical,SAWTOOTH FM,BOW ISLAND SAWTOOTH B,,19930603,950,0,102/16-34-009-13W4/00,19930608,ARROWSTAR DRILLING CORPORATION,2,,20110201,Abandoned Crude Oil,498.4,313.3,PRIMARY,,918.5,917,,,161870.12,SAWTOOTH B,,BWL,AB3,Medicine Hat,0,2132030,158745.39,20160222,25238.5,338965.7,19930606,807.1,2.58,100.49,16.83,2.11,6.28,412.65,100.93,6.64,,0,0,,30,3,9713,34,0158352,1,0,,513.2,18123.486,,0,2569,269,2874,2725,10678,508,11186,2741,2605,311,3052,10767,305
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,,19930520,1078,1077.97,102/09-35-034-08W4/00,19930527,TRI-CITY DRILLING INC.,6,,20131001,Abandoned Crude Oil,375.9,399.6,PRIMARY,,1024.5,1018.5,1062.5,WINTERBURN GRP,108304.74,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,5625408,102110.67,20171130,16234.3,894368.4,19930525,772,155.4,126.99,1.85,2.96,1.54,1110.2,153.78,2.05,,0,0,,124,4,6890,28,0158402,2,0,,1017.3,35925.61,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,,19930527,1063,1052.96,103/09-35-034-08W4/00,19930531,TRI-CITY DRILLING INC.,5,,20150801,Abandoned Crude Oil,375.9,399.5,PRIMARY,,1031.3,1026.5,1016.5,DINA MBR,237870,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,3897926,226729.44,20180817,36047.1,619720.7,19930530,771.9,228.05,134.19,1.15,4.04,5.22,553.91,173.51,5.92,,0,0,,124,4,6890,28,0158551,3,0,,1829.7,64615.246,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
VIKING-KINSELLA,DEVELOPMENT,Deviated,MANNVILLE GRP,,,19930725,868,840.82,100/16-31-044-11W4/00,19930729,PRECISION DRILLING CORPORATION,3,,19940301,Abandoned Zone Gas,426.6,275.6,PRIMARY,,811,808,854,WINTERBURN GRP,2750.282,,,BWL,AB4,Medicine Hat,0,0,0,20190503,0,0,19930727,698.8,496.69,,,177.24,,,85.64,30.56,,0,0,,,,,,0158651,2,0,,451.7,15951.635,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
VIKING-KINSELLA,DEVELOPMENT,Deviated,MANNVILLE GRP,VIKING-KINSELLA SPARKY I,,19930725,868,840.82,100/16-31-044-11W4/02,19930729,PRECISION DRILLING CORPORATION,3,,20130601,Abandoned Crude Oil,426.6,275.6,PRIMARY,Waterflood,789,786,854,WINTERBURN GRP,35270.57,SPARKY I,,BWL,AB4,Medicine Hat,0,931238.56,33341.656,20190503,5300.9,148055.1,19930727,698.8,56.66,20.14,6.45,3.22,0.91,258.2,29.91,1.47,,0,0,,140,2,5262,30,0158651,2,0,,316.8,11187.687,,0,54202,881,56399,57069,71108,1995,73103,58436,55518,935,59371,81016,2197
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,,19930601,1075,1052.82,100/08-35-034-08W4/00,19930605,TRI-CITY DRILLING INC.,2,,19981201,Abandoned Zone Crude Oil,375.9,399.6,PRIMARY,,1044,1042,1031.5,DINA MBR,90257.05,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,1077371.6,85023.77,,13517.7,171288.4,19930604,771.9,138.34,63.01,39.01,8.6,4.83,702.49,86.86,6.31,,0,0,,124,4,6890,28,0158733,1,0,,859.5,30352.955,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,DINA MBR,PROVOST GLAUCONITIC A,,19930616,1017,990.14,100/14-25-040-11W4/00,19930620,PRECISION DRILLING CORPORATION,3,,20071201,Abandoned Crude Oil,390.06,348.5,PRIMARY,,954.5,952,1015.5,WINTERBURN GRP,19232.42,GLAUCONITIC A,YES,BWL,AB4,Medicine Hat,0,1883169.4,17386.924,20100715,2764.3,299400,19930619,734.9,4.36,32.13,69.83,0.73,1.65,409.1,32.88,1.78,,0,0,,552,6,7514,34,0158741,1,0,,303.1,10703.875,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,DINA MBR,,,19930628,1150,994.79,103/08-25-040-11W4/00,19930703,PRECISION DRILLING CORPORATION,,,,Abandoned & Re-Entered,389.43,345,PRIMARY,,,,1107,ELLERSLIE MBR,,,,BWL,AB4,Medicine Hat,,,,19930723,,,19930702,730.5,,,,,,,,,,,,,,,,,0158745,,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,DINA MBR,,,19930719,1200,989.54,103/08-25-040-11W4/02,19930723,PRECISION DRILLING CORPORATION,,,,Abandoned,389.43,345,PRIMARY,,,,1157,ELLERSLIE MBR,,,,BWL,AB4,Medicine Hat,,,,19930723,,,19930722,730.5,,,,,,,,,,,,,,,,,0158745,,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,DINA MBR,PROVOST GLAUCONITIC A,,19930620,1070,993.22,100/09-25-040-11W4/00,19930624,PRECISION DRILLING CORPORATION,4,,19990501,Abandoned Crude Oil,389.43,345,PRIMARY,,991,987,982.3,GLAUCONITIC SS,96078.45,GLAUCONITIC A,,BWL,AB4,Medicine Hat,0,1405369.5,93326.95,20100714,14837.8,223435.9,19930623,730.5,8.37,71.93,23.72,12.42,2.64,52.19,73.37,4.78,,0,0,,552,6,7514,34,0158746,1,0,,451.9,15958.698,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,DINA MBR,PROVOST GLAUCONITIC A,,19930611,1116,993.1,103/15-25-040-11W4/00,19930616,PRECISION DRILLING CORPORATION,3,,20031001,Abandoned Crude Oil,390.06,348.9,PRIMARY,,1038,1035.5,1063.5,ELLERSLIE MBR,53193.79,GLAUCONITIC A,,BWL,AB4,Medicine Hat,0,1565630.1,46591.773,20100715,7407.5,248915.3,19930614,735.1,8.13,81.28,29.09,0.46,0.81,173.62,82.68,0.89,,0,0,,552,6,7514,34,0158749,2,0,,1084.3,38291.69,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
CECIL,DEVELOPMENT,Vertical,CHARLIE LAKE FM,CECIL CHARLIE LAKE O,,19930603,1180,0,100/14-31-083-07W6/00,19930608,PALLISER ENERGY CORP,4,,20160901,Abandoned Crude Oil,366.61,320.5,PRIMARY,,1144,1140.5,1140,CHARLIE LAKE FM,236240.33,CHARLIE LAKE O,,BWL,AB7,Drayton Valley/Grande Prairie,0,5796.6895,189103.16,20170820,30065,921.6,19930606,682.9,118.33,397.43,5.06,4.18,0.77,0.05,417.83,1.49,,0,0,,,3,8675,46,0158751,4,0,,7741.7,273395.56,,0,4971,1933,5715,5382,5252,3617,8869,4049,3782,2137,6186,28923,744
PROVOST,DEVELOPMENT,Deviated,DINA MBR,PROVOST GLAUCONITIC A,INJECTION,19930610,1112,989.28,104/08-25-040-11W4/00,19930616,SEDCO DRILLING,20,20070901,,Abandoned Water Injection,389.43,345,PRIMARY,II,1075,1055,1017,GLAUCONITIC SS,0,GLAUCONITIC A,,BWL,AB4,Medicine Hat,0,0,0,20100714,0,0,19930615,730.5,,,,,,,,,,0,2538063,0,552,6,7514,34,0158774,1,0,0,0,0,,15963936,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST ELLERSLIE ZZ,,19930607,1071,0,100/01-35-034-08W4/00,19930613,SEDCO DRILLING,2,,19940401,Abandoned Crude Oil,361.8,414.7,PRIMARY,,1051,1049,,,2872.4038,ELLERSLIE ZZ,,BWL,AB3,Medicine Hat,0,10093.889,2772.5486,20180815,440.8,1604.8,19930610,773,6.26,27.49,51.48,2.29,4.97,25.53,28.57,5.36,,0,0,,4,2,6175,33,0158776,1,0,,16.4,579.1605,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST ELLERSLIE VV,,19930605,1071,1050.7,104/09-35-034-08W4/00,19930610,TRI-CITY DRILLING INC.,2,,19981201,Abandoned Crude Oil,375.9,399.7,PRIMARY,,1040.5,1038.5,1027.5,DINA MBR,105637.51,ELLERSLIE VV,,BWL,AB3,Medicine Hat,0,884249.25,100023.086,20180814,15902.4,140584.4,19930609,772,161.88,133.52,6.5,2.51,1.61,196.77,161.43,2.04,,0,0,,124,4,6890,28,0158835,1,0,,922.1,32563.654,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
