Field,Lahee Classification,Well Trajectory,Projected Formation,Producing Formation,Type,Spud Date,Total Well Depth (mKB),True Vertical Depth (m TVD),UWI,Rig Release Date,Drilling Contractor Name,Completion Length (m),Last Injection Date,Last Production Date,Full Status,Base Of Groundwater Protection Elev. (m above sea level),Base Of Groundwater Protection Depth (mKB),Recovery Mechanism,Scheme Sub Type,Completion Bottom (mKB),Completion Top (mKB),Deepest Form. Depth (mKB),Deepest Form. Name,Cum. BOE (bbl),Geological Formation,Fractured Well Flag,EDCT,PSAC Area Code,LLR Abandonment Area,Cum. Gas Injection - E3M3 (e3m3),Cum. Water Production (bbl),Cum. Oil Production (bbl),Surface Aband. Date,Cum. Oil Production (m3),Cum. Water Production (m3),Final Drill Date,Ground Elevation (m above sea level),Initial 3Mth Prod. Gas (Mcf/d),Initial 3Mth Prod. Oil (BBL/d),Initial 3Mth Prod. Water (BBL/d),Last 3Mth Prod. Gas (Mcf/d),Last 3Mth Prod. Oil (BBL/d),Last 3Mth Prod. Water (BBL/d),Initial 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. BOE (BOE/d),Last 3Mth Prod. Condensate (BBL/d),Cum. Condensate Production (bbl),Cum. Water Injection - M3 (m3),Cum. Co2 Injection (e3m3),Oil Pool  Area Pool Ha (ha),Oil Pool Average Pay Thickness (m),Oil Pool Initial Pressure (kpa),Oil Pool Temperature (ºC),Licence,Perforation Count,Cum. Condensate Production (m3),Cum. CO2 Injection (mcf),Cum. Gas Production (e3m3),Cum. Gas Production (mcf),Initial 3Mth Prod. Condensate (BBL/d),Cum. Water Injection - BBL (bbl),Cumulative Marketable Production (e3m3),Initial Est Mkt Gas Reserves Associated And Nonassociated (e3m3),Initial Established Marketable Gas Reserves Solution (e3m3),Initial Established Marketable Gas Reserves Total (e3m3),Initial Gas In Place Associated And Non Associated Gas (e3m3),Initial Gas In Place Solution Gas (e3m3),Initial Gas In Place Total Gas (e3m3),Initial Producible Gas Associated And Non Associated Gas (e3m3),Initial Producible Gas Cumulative Raw Production (e3m3),Initial Producible Gas Solution Gas (e3m3),Initial Producible Gas Total Gas (e3m3),Remaining Energy Content (TJ),Remaining Established Marketable Gas (e3m3)
WAINWRIGHT,DEVELOPMENT,Vertical,SPARKY MBR,WAINWRIGHT WAINWRIGHT E,,19901208,643,0,1B0/02-36-046-06W4/00,19901211,TRI-CITY DRILLING INC.,3,,20011001,Abandoned Crude Oil,474.6,184,PRIMARY,,622,619,632,GENERAL PETROLEUM MBR,142585.86,WAINWRIGHT E,,BWL,AB4,Medicine Hat,0,515411,133127.62,20220729,21165.6,81943.8,19901210,655.7,0.94,28.16,7.18,5.95,29.03,230.7,28.32,30.06,,0,0,,704,2,2916,20,0146667,2,0,,1553.4,54857.805,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PEMBINA,DEVELOPMENT,Vertical,CARDIUM FM,PEMBINA CARDIUM,,19901214,1628,0,100/11-21-048-08W5/00,19901221,PRECISION DRILLING CORPORATION,11,,20080301,Abandoned Crude Oil,400.5,505.5,PRIMARY,,1589,1578,1578,CARDIUM SD,18501.336,CARDIUM,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,55820.812,17620.904,20191208,2801.5,8874.8,19901219,901.2,4.6,34.3,188.36,0.12,0.79,3.77,35.09,0.81,,0,0,,,5,,52,0146683,1,0,,144.6,5106.501,,0,236965,53255,261848,290001,294321,215330,509651,234938,208593,85746,320684,1042068,24883
LONG COULEE,DEVELOPMENT,Vertical,RIERDON FM,LONG COULEE SUNBURST I,,19910105,1483,0,100/10-24-014-23W4/00,19910116,BLUE-BIRD DRILLING CO LTD,4,,19951101,Abandoned Crude Oil,661.7,272.3,PRIMARY,,1437.5,1434,1444,RIERDON FM,28506.89,SUNBURST I,YES,BWL,AB3,Calgary/Edmonton,0,37064.598,26513.44,19970908,4215.3,5892.8,19910113,930.6,30.28,25.21,69.93,6.6,6.94,34.89,30.43,8.08,,0,0,,654,3,13082,46,0146720,1,0,,327.4,11562.021,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST DINA F3F,,19901211,882,0,1B0/09-23-037-05W4/00,19901214,TRI-CITY DRILLING INC.,2,,20110701,Abandoned Zone Crude Oil,364.8,320.1,PRIMARY,,848,846,875,WINTERBURN GRP,81961.18,DINA F3F,YES,BWL,AB4,Medicine Hat,0,147483.48,79330.24,20181102,12612.5,23448,19901213,681.1,20.19,95.03,8.32,0.61,1.76,19.41,98.51,1.87,,0,0,,109,5,5497,28,0146757,3,0,,432.1,15259.468,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,,,19901211,882,0,1B0/09-23-037-05W4/02,19901214,TRI-CITY DRILLING INC.,2,,,Abandoned Crude Oil,364.8,320.1,PRIMARY,,792,790,875,WINTERBURN GRP,,,YES,BWL,AB4,Medicine Hat,,,,20181102,,,19901213,681.1,,,,,,,,,,,,,,,,,0146757,3,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19901230,1574,0,100/14-33-015-22W4/00,19910110,PRECISION DRILLING CORPORATION,3,,20131201,Abandoned Crude Oil,662.92,346.6,PRIMARY,Waterflood,1513.5,1510.5,1549,LIVINGSTONE FM,322237,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,395655.5,272638.78,20201021,43346.1,62904.2,19910108,1005.2,71.34,207.37,19.72,4.39,1.52,81.07,219.67,2.28,,0,0,,,1,14057,47,0146907,1,0,,8145.9,287669.75,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
MEDICINE HAT,NEW POOL WILDCAT,Vertical,CAMBRIAN SYSTEM,,,19901228,1701.2,0,100/15-07-013-04W4/00,19910116,CACTUS DRILLING & EXPLORATION LTD,,,,Abandoned,525.7,188.4,PRIMARY,,,,1604,ELK POINT GRP,,,,BWL,AB3,Medicine Hat,,,,19910115,,,19910112,709.7,,,,,,,,,,,,,,,,,0146995,,,,,,,,137721,543,165155,144990,274778,2851,277629,173272,164612,597,173869,999918,27434
TWINING,DEVELOPMENT,Vertical,PEKISKO FM,TWINING COMMINGLED POOL 001,,19910122,1690,0,100/08-32-032-24W4/00,19910131,PRECISION DRILLING CORPORATION,51,,19960601,Abandoned Zone Crude Oil,303.52,575.3,PRIMARY,,1666,1615,1671,BANFF FM,27463.275,UPPER MANNVILLE O,,BWL,AB3,Calgary/Edmonton,0,1788.1932,9924.063,20210623,1577.8,284.3,19910128,874,167.26,12.6,2.15,21.69,2.78,0.45,41.44,6.52,,0,0,,,13,,,0147458,16,0,,2880.6,101727.43,,0,14263,4708,17327,15758,19583,8239,27822,13819,12619,5276,19095,120360,3064
TWINING,DEVELOPMENT,Vertical,PEKISKO FM,TWINING COMMINGLED MFP9501,,19910122,1690,0,100/08-32-032-24W4/02,19910131,PRECISION DRILLING CORPORATION,9,,20101101,Abandoned Gas,303.52,575.3,PRIMARY,,641.5,632.5,1671,BANFF FM,39559.734,LOWER EDMONTON C,,BWL,AB3,Calgary/Edmonton,0,0,0,20210623,0,0,19910128,874,215.68,,,21.85,,,37.19,3.77,,0,0,,,,,,0147458,16,0,,6497.2,229446.45,,0,14263,4708,17327,15758,19583,8239,27822,13819,12619,5276,19095,120360,3064
KAYBOB SOUTH,OUTPOST,Vertical,LEDUC FM,KAYBOB SOUTH BLUERIDGE E,,19910127,2884.4,0,100/05-34-058-17W5/00,19910305,GOLDEN PRAIRIE ENERGY LTD.,34,,19990801,Abandoned Zone Gas,506.1,510.3,PRIMARY,,2874,2840,2822.5,BLUERIDGE MBR,246091.47,BLUERIDGE E,YES,BWL,AB2,Drayton Valley/Grande Prairie,0,47.17358,0,20121108,0,7.5,19910227,1011.4,2885.83,,1.61,171.81,,0.8,497.56,29.62,,0,0,,,,,,0147642,11,0,,40417.5,1427330.5,,0,143035,5021,165836,193038,281157,10153,291310,212313,160815,5973,218286,941321,22801
KAYBOB SOUTH,OUTPOST,Vertical,LEDUC FM,,,19910127,2884.4,0,100/05-34-058-17W5/02,19910305,GOLDEN PRAIRIE ENERGY LTD.,,,,Abandoned,506.1,510.3,PRIMARY,,,,2822.5,BLUERIDGE MBR,,,YES,BWL,AB2,Drayton Valley/Grande Prairie,,,,20121108,,,19910227,1011.4,,,,,,,,,,,,,,,,,0147642,11,,,,,,,143035,5021,165836,193038,281157,10153,291310,212313,160815,5973,218286,941321,22801
LITTLE HORSE,OUTPOST,Vertical,PRECAMBRIAN SYSTEM,,,19910219,2059,0,100/15-28-075-12W5/00,19910307,ARROWSTAR DRILLING CORPORATION,,,,Abandoned,538.06,110.5,PRIMARY,,,,2052,PRECAMBRIAN SYSTEM,,,,BWL,AB7,Athabasca/Peace River,,,,19910306,,,19910303,643.8,,,,,,,,,,,,,,,,,0147916,,,,,,,,195,138,213,206,113,237,350,78,75,148,226,695,18
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,,19910224,1578,0,100/06-33-015-22W4/02,19910305,PRECISION DRILLING CORPORATION,2,,20131201,Abandoned Crude Oil,660.66,351.5,PRIMARY,Waterflood,1531,1529,1560,LIVINGSTONE FM,31432.057,SUNBURST K,,BWL,AB3,Calgary/Edmonton,0,782029.1,22194.227,20201021,3528.6,124332.7,19910303,1007.4,9.68,6.66,110.83,8.42,1.24,149.17,8.33,2.69,,0,0,,,1,12597,45,0148056,3,0,,1517.2,53579.414,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19910224,1578,0,100/06-33-015-22W4/00,19910305,PRECISION DRILLING CORPORATION,3,,20000401,Abandoned Zone Crude Oil,660.66,351.5,PRIMARY,Waterflood,1516,1513.5,1560,LIVINGSTONE FM,115168,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,6854.6357,98607.25,20201021,15677.3,1089.8,19910303,1007.4,42.98,82.28,0.7,18.68,22.55,2.15,89.69,25.77,,0,0,,,1,14057,47,0148056,3,0,,2719.9,96052.36,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST DINA F3F,,19910306,894,0,1A0/07-23-037-05W4/00,19910310,PRECISION DRILLING CORPORATION,1,,19921001,Abandoned Crude Oil,366.6,322.8,PRIMARY,,854.5,853.5,879,WINTERBURN GRP,11192.4,DINA F3F,,BWL,AB4,Medicine Hat,0,2328.488,10763.753,19921206,1711.3,370.2,19910308,685.3,11.22,29.71,5.6,8.79,7.49,3.04,31.64,9.01,,0,0,,109,5,5497,28,0148071,2,0,,70.4,2486.1526,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
WAINWRIGHT,DEVELOPMENT,Vertical,MANNVILLE GRP,WAINWRIGHT COMMINGLED POOL 003,,19910317,653,0,1D2/02-02-046-06W4/00,19910320,NYCAN ENERGY CORP.,3,,20031001,Abandoned Crude Oil,486.9,171.1,WATER FLOOD,Waterflood,633.8,631.3,637,GENERAL PETROLEUM MBR,42667.215,SPARKY Z,YES,BWL,AB4,Medicine Hat,0,340975.03,41037.87,20210924,6524.5,54210.7,19910319,654.2,2.81,2.02,8.27,0.38,1.69,9.94,2.5,1.76,,0,0,,,3,4046,24,0148225,1,0,,267.6,9450.205,,0,7807,989,8557,8223,10853,1973,12826,7963,7568,1042,9005,27130,750
PROVOST,DEVELOPMENT,Vertical,PALEOZOIC ERA,PROVOST MCLAREN S,,19910712,874,0,100/12-25-037-05W4/02,19910715,PRECISION DRILLING CORPORATION,2,,20000801,Abandoned Gas,361.5,314.8,PRIMARY,,749,747,870,WINTERBURN GRP,22714.03,MCLAREN S,,BWL,AB4,Medicine Hat,0,1037.8187,0,20181102,0,165,19910714,672.4,640.15,,14.34,164.52,,16.74,110.37,28.37,,0,0,,,,,,0148748,2,0,,3730.5,131741.36,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Vertical,PALEOZOIC ERA,PROVOST DINA P4P,,19910712,874,0,100/12-25-037-05W4/00,19910715,PRECISION DRILLING CORPORATION,4,,19931101,Abandoned Zone Crude Oil,361.5,314.8,PRIMARY,,836,832.5,870,WINTERBURN GRP,18610.154,DINA P4P,,BWL,AB4,Medicine Hat,0,42236.707,18529.783,20181102,2946,6715.1,19910714,672.4,3.37,124.5,9.16,0.19,6.43,39.17,125.08,6.46,,0,0,,4,5,5745,28,0148748,2,0,,13.2,466.1536,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
THORHILD,NEW POOL WILDCAT,Vertical,MANNVILLE GRP,,,19910602,859,0,100/07-32-060-22W4/02,19910607,TRI-CITY DRILLING INC.,5,,19990701,Abandoned Gas,445.39,229.9,PRIMARY,,515,510,842.5,ELLERSLIE MBR,238.67844,,,BWL,AB5,Athabasca/Peace River,0,75.47773,0,20010814,0,12,19910605,671.7,56.37,,3.61,22.69,,1.24,9.72,3.91,,0,0,,,,,,0148799,2,0,,39.2,1384.335,,0,2063,,2173,2170,3320,,3320,2285,2173,,2285,4062,110
THORHILD,NEW POOL WILDCAT,Vertical,MANNVILLE GRP,,,19910602,859,0,100/07-32-060-22W4/00,19910607,TRI-CITY DRILLING INC.,1,,19990401,Abandoned Zone Gas,445.39,229.9,PRIMARY,,759.5,758.5,842.5,ELLERSLIE MBR,1534.3615,,,BWL,AB5,Athabasca/Peace River,0,599.41895,0,20010814,0,95.3,19910605,671.7,87.94,,4.54,27.5,,3.54,15.16,4.74,,0,0,,,,,,0148799,2,0,,252,8899.296,,0,2063,,2173,2170,3320,,3320,2285,2173,,2285,4062,110
PROVOST,DEEPER-POOLTEST,Vertical,PALEOZOIC ERA,,,19910605,1007,0,100/02-18-039-09W4/02,19910610,SEDCO DRILLING,,,,Abandoned,383.05,367.9,,,,,984.5,WINTERBURN GRP,,,,BWL,AB4,Medicine Hat,,,,20191029,,,19910608,747.3,,,,,,,,,,,,,,,,,0148827,3,,,,,,,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEEPER-POOLTEST,Vertical,PALEOZOIC ERA,PROVOST LLOYDMINSTER YY,,19910605,1007,0,100/02-18-039-09W4/00,19910610,SEDCO DRILLING,2,,19940301,Abandoned Zone Crude Oil,383.05,367.9,PRIMARY,,931.3,929,984.5,WINTERBURN GRP,17704.762,LLOYDMINSTER YY,,BWL,AB4,Medicine Hat,0,34206.508,17368.055,20191029,2761.3,5438.4,19910608,747.3,12.95,111.17,36.41,4.24,23.27,138.93,113.4,24,,0,0,,16,5,5832,28,0148827,3,0,,55.3,1952.9011,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
PROVOST,DEVELOPMENT,Deviated,MANNVILLE GRP,PROVOST DINA L,,19910703,921,899.87,1C0/01-01-039-05W4/00,19910707,DOLPHIN DRILLING,1,,19980501,Abandoned Crude Oil,384.2,316.2,PRIMARY,,849,848,905.7,WOODBEND GRP,73843.79,DINA L,,BWL,AB4,Medicine Hat,0,1958630.8,73200.82,20181026,11638,311397.4,19910706,697.8,1.61,64.21,16.12,0.65,12.26,948.19,64.49,12.37,,0,0,,232,3,5840,27,0148849,1,0,,105.6,3729.2288,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,,INJECTION,19910523,1595,0,100/08-32-015-22W4/00,19910607,ARROWSTAR DRILLING CORPORATION,2,20131201,19910801,Abandoned Water Injection,658.23,353.8,PRIMARY,Waterflood,1538.5,1537,1579,LIVINGSTONE FM,219.9423,,,BWL,AB3,Calgary/Edmonton,0,1037.8187,213.85356,20201021,34,165,19910603,1007.4,2.44,4.37,32.87,1.14,3.45,16.74,4.79,3.65,,0,288588.5,0,,,,,0148875,1,0,0,1,35.314667,,1815167,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST CUMMINGS UUU,,19910614,906,0,1D0/04-19-038-05W4/00,19910617,PRECISION DRILLING CORPORATION,1,,19930701,Abandoned Gas,378,322.4,PRIMARY,,851,850.5,892,WOODBEND GRP,4269.4214,CUMMINGS UUU,,BWL,AB4,Medicine Hat,0,0,0,20200916,0,0,19910616,696.4,44.66,,,29.63,,,7.7,5.11,,0,0,,,,,,0148902,1,0,,701.2,24762.645,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
ROWLEY,DEVELOPMENT,Vertical,BANFF FM,ROWLEY PEKISKO A,,19910527,1405,0,100/07-16-032-20W4/00,19910603,AKITA DRILLING LTD,16,,19930501,Abandoned Crude Oil,497.2,330.1,PRIMARY,,1368,1352,1370.5,BANFF FM,43514.906,PEKISKO A,YES,BWL,AB3,Calgary/Edmonton,0,217.62746,7559.0947,20151127,1201.8,34.6,19910601,823.2,330.29,46.09,0.97,31.59,0.76,0.06,103.04,6.21,,0,0,,1545,9,7538,50,0148919,3,0,,5905.3,208543.7,,0,4994,562,5545,5359,9651,958,10609,5323,4983,623,5946,21673,551
ENCHANT,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,ENCHANT ELLIS F,DISPOSAL,19910628,1005,0,100/04-07-012-15W4/00,19910707,BODOR DRILLING LTD,6,20190501,,Abandoned Water Disposal,550,239.2,PRIMARY,II,981,975,990.5,LIVINGSTONE FM,0,ELLIS F,,BWL,AB3,Medicine Hat,0,0,0,20220322,0,0,19910702,785.2,,,,,,,,,,0,3102992.2,0,135,3,10415,28,0148954,2,0,0,0,0,,19517234,9594,1976,10642,10586,13321,6307,19628,9276,8666,2465,11741,39349,1048
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19910606,1592,0,100/16-33-015-22W4/02,19910613,PRECISION DRILLING CORPORATION,2,,20000601,Abandoned Crude Oil,665.4,363.8,PRIMARY,Waterflood,1525,1523.5,1554,SAWTOOTH FM,909.26465,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,2820.9802,768.61487,20200922,122.2,448.5,19910611,1025.9,11.04,10.38,40.25,13.37,12.6,46.25,12.28,14.91,,0,0,,,1,14057,47,0149026,6,0,,23.1,815.7688,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,,19910606,1592,0,100/16-33-015-22W4/00,19910613,PRECISION DRILLING CORPORATION,7,,20131201,Abandoned Zone Crude Oil,665.4,363.8,PRIMARY,Waterflood,1541.5,1534.5,1554,SAWTOOTH FM,261109.11,SUNBURST K,,BWL,AB3,Calgary/Edmonton,0,248401.61,211347.7,20200922,33601.6,39492.7,19910611,1025.9,108.5,164.1,2.82,4.04,0.77,24.27,182.81,1.47,,0,0,,,1,12597,45,0149026,6,0,,8172.7,288616.2,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
HOTCHKISS,OUTPOST,Vertical,BANFF FM,,,19910806,620,0,100/11-26-093-24W5/00,19910811,AKITA DRILLING LTD,,,,Abandoned,527.14,57.9,PRIMARY,,,,585,SHUNDA FM,,,,BWL,AB7,High Level,,,,19910811,,,19910809,582,,,,,,,,,,,,,,,,,0149106,,,,,,,,30721,75,32458,33018,43612,183,43795,34809,32383,83,34892,67190,1737
HOTCHKISS,NEW POOL WILDCAT,Vertical,BANFF FM,,,19910730,605,0,100/04-30-093-23W5/00,19910805,AKITA DRILLING LTD,,,,Abandoned,487.21,74.4,PRIMARY,,,,550,SHUNDA FM,,,,BWL,AB7,High Level,,,,19910805,,,19910802,558.1,,,,,,,,,,,,,,,,,0149107,,,,,,,,30721,75,32458,33018,43612,183,43795,34809,32383,83,34892,67190,1737
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,,,19910617,1565,0,100/14-04-016-22W4/03,19910624,PRECISION DRILLING CORPORATION,,,,Abandoned,661.6,335.3,PRIMARY,,,,1546.5,LIVINGSTONE FM,,,YES,BWL,AB3,Calgary/Edmonton,,,,20200922,,,19910622,992.4,,,,,,,,,,,,,,,,,0149147,6,,,,,,,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,,19910617,1565,0,100/14-04-016-22W4/00,19910624,PRECISION DRILLING CORPORATION,4,,20130501,Abandoned Zone Crude Oil,661.6,335.3,PRIMARY,Waterflood,1514.7,1511,1546.5,LIVINGSTONE FM,82022.49,SUNBURST K,YES,BWL,AB3,Calgary/Edmonton,0,1730069,65439.82,20200922,10404.1,275059,19910622,992.4,91.99,168.75,230.26,6.1,3.99,281.52,184.61,5.04,,0,0,,,1,12597,45,0149147,6,0,,2723.5,96179.49,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19910617,1565,0,100/14-04-016-22W4/02,19910624,PRECISION DRILLING CORPORATION,3,,19980101,Abandoned Zone Crude Oil,661.6,335.3,PRIMARY,Waterflood,1500.5,1497.5,1546.5,LIVINGSTONE FM,157089.14,GLAUCONITIC Q,YES,BWL,AB3,Calgary/Edmonton,0,30164.045,141771.7,20200922,22539.9,4795.7,19910622,992.4,108.64,123.99,0.97,2.15,0.24,1.95,142.72,0.61,,0,0,,,1,14057,47,0149147,6,0,,2515.7,88841.11,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19910715,1565,0,100/16-05-016-22W4/00,19910723,PRECISION DRILLING CORPORATION,2,,20050801,Abandoned Crude Oil,657.53,330.4,PRIMARY,Waterflood,1492,1490,1537.5,LIVINGSTONE FM,118835.9,GLAUCONITIC Q,YES,BWL,AB3,Calgary/Edmonton,0,32330.885,107769.62,20160624,17134,5140.2,19910720,983.9,100.89,159.03,0.09,2.76,1.28,4.76,176.42,1.76,,0,0,,,1,14057,47,0149387,2,0,,1817.5,64184.406,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,OUTPOST,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,,19910724,1550,0,100/08-08-016-22W4/00,19910731,BLUE-BIRD DRILLING CO LTD,4,,20131201,Abandoned Crude Oil,656.98,328.6,PRIMARY,Waterflood,1503.5,1499.5,1538,LIVINGSTONE FM,130634.37,SUNBURST K,YES,BWL,AB3,Calgary/Edmonton,0,986362.44,111474.945,20200922,17723.1,156819.1,19910728,981.1,39.21,94.14,2.33,4.42,1.24,88.09,100.9,2,,0,0,,,1,12597,45,0149458,1,0,,3146.7,111124.664,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
PROVOST,DEVELOPMENT,Vertical,MANNVILLE GRP,PROVOST DINA L,,19910722,892,0,102/02-11-039-05W4/00,19910725,DOLPHIN DRILLING,1,,19980501,Abandoned Crude Oil,377.9,315.3,PRIMARY,,822.5,821.5,877.5,WOODBEND GRP,79023.75,DINA L,,BWL,AB4,Medicine Hat,0,2275960.5,78466.016,20000725,12475.1,361848.8,19910724,689.6,1.54,109.8,3.9,1.38,1.76,296.42,110.07,2,,0,0,,232,3,5840,27,0149488,1,0,,91.6,3234.8235,,0,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,INJECTION,19910726,1568,0,100/14-05-016-22W4/00,19910803,PRECISION DRILLING CORPORATION,2,20121201,,Abandoned Water Injection,652.5,331.4,PRIMARY,Waterflood,1507,1505,1545.5,LIVINGSTONE FM,0,SUNBURST K,YES,BWL,AB3,Calgary/Edmonton,0,0,0,20181020,0,0,19910731,979.9,,,,,,,,,,0,413312.56,0,,1,12597,45,0149503,5,0,0,0,0,,2599657.8,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
PROVOST,NEW POOL WILDCAT,Vertical,PALEOZOIC ERA,PROVOST GLAUCONITIC A,,19910803,991,0,100/08-35-040-11W4/00,19910808,AKITA DRILLING LTD,5,19961001,20030801,Abandoned Crude Oil,390.77,331.3,PRIMARY,,911,906.5,906.5,ELLERSLIE MBR,12630.817,GLAUCONITIC A,,BWL,AB4,Medicine Hat,0,379354.84,9019.589,20131009,1434,60312.6,19910805,718.3,9.52,23.94,121.44,0.12,0.15,14.72,25.58,0.17,,0,1945592,0,552,6,7514,34,0149602,4,0,0,593.1,20945.129,,12237406,73601,9045,81766,78125,115062,19314,134376,76673,72721,10109,86782,308750,8165
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE SUNBURST K,,19910803,1590,0,100/08-04-016-22W4/00,19910810,PRECISION DRILLING CORPORATION,8,,20060801,Abandoned Zone Crude Oil,672.7,347.2,PRIMARY,Waterflood,1535.5,1527.5,1564.5,LIVINGSTONE FM,269150.66,SUNBURST K,,BWL,AB3,Calgary/Edmonton,0,411631,239102.12,20201022,38014.2,65444.1,19910808,1015,109.43,164.77,1.57,9.14,1.42,119.02,183.64,3,,0,0,,,1,12597,45,0149607,4,0,,4935.1,174281.4,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,,SOURCE,19910803,1590,0,100/08-04-016-22W4/02,19910810,PRECISION DRILLING CORPORATION,6,,20130701,Abandoned Water Source,672.7,347.2,PRIMARY,,1332.5,1326.5,1564.5,LIVINGSTONE FM,374.45724,,,BWL,AB3,Calgary/Edmonton,0,0,0,20201022,0,0,19910808,1015,28.61,,,2.19,,,4.93,0.38,,0,0,,,,,,0149607,4,0,,61.5,2171.852,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
LONG COULEE,DEVELOPMENT,Vertical,MISSISSIPPIAN SYSTEM,LONG COULEE GLAUCONITIC Q,,19910819,1576,0,100/16-29-015-22W4/00,19910826,PRECISION DRILLING CORPORATION,4,,20050201,Abandoned Crude Oil,659.09,328.3,PRIMARY,,1509.2,1505.5,1555,LIVINGSTONE FM,108408.305,GLAUCONITIC Q,,BWL,AB3,Calgary/Edmonton,0,135377.48,77657.15,20160624,12346.5,21523.3,19910824,983.4,124.77,140.78,0.31,5.22,0.97,172.92,162.29,1.87,,0,0,,,1,14057,47,0149763,1,0,,5050.5,178356.72,,0,8930,459,9250,12051,14892,1338,16230,11834,8791,604,12438,12123,320
